year,title,artist,number
2017,사랑이 잘 (With 오혁) ,아이유,30349593
2017,선물 ,멜로망스,30514366
2017,마지막처럼 ,BLACKPINK,30481578
2017,매일 듣는 노래 (A Daily Song) ,황치열,30467550
2017,에라 모르겠다 ,BIGBANG (빅뱅),30147445
2017,널 너무 모르고 ,헤이즈 (Heize),30492276
2017,불장난 ,BLACKPINK,30069773
2017,빨간 맛 (Red Flavor) ,Red Velvet (레드벨벳),30512671
2017,Stay With Me ,찬열 (CHANYEOL),30132687
2017,New Face ,싸이 (PSY),30403590
2017,TT ,TWICE (트와이스),30054344
2017,처음부터 너와 나 ,볼빨간사춘기,30414090
2017,시차 (We Are) (Feat. 로꼬 & GRAY) ,우원재,30613202
2017,Rookie ,Red Velvet (레드벨벳),30227054
2017,오빠야 ,신현희와김루트,5605860
2017,SIGNAL ,TWICE (트와이스),30413326
2017,Decalcomanie (데칼코마니) ,마마무 (Mamamoo),30079086
2017,그대라는 사치 ,한동근,9614761
2017,"무제(無題) (Untitled, 2014) ",G-DRAGON,30461396
2017,부담이 돼 (Feat. 휘인 Of 마마무) ,정키,30290011
2017,BLUE MOON (Prod. GroovyRoom) ,효린,30367365
2017,가시나 ,선미,30587846
2017,"All I Wanna Do (K) (Feat. Hoody, Loco) ",박재범,30049271
2017,어디에도 ,엠씨더맥스 (M.C the MAX),8033528
2017,돌아오지마 (Feat. 용준형 Of 비스트) ,헤이즈 (Heize),8143111
2017,I LUV IT ,싸이 (PSY),30403589
2017,심술 ,볼빨간사춘기,8155478
2017,피 땀 눈물 ,방탄소년단,30029173
2017,D (half moon) (Feat. 개코) ,DEAN,8109412
2017,썸 탈꺼야 ,볼빨간사춘기,30657307
2017,얼굴 찌푸리지 말아요 ,하이라이트 (Highlight),30310862
2017,너였다면 ,정승환,8203900
2017,I Miss You ,소유 (SOYOU),30177818
2017,이 소설의 끝을 다시 써보려 해 ,한동근,5398990
2018,사랑을 했다 (LOVE SCENARIO) ,iKON,30859584
2018,그날처럼 ,장덕철,30755375
2018,"모든 날, 모든 순간 (Every day, Every Moment) ",폴킴,30962526
2018,지나오다 ,닐로(Nilo),30699142
2018,뿜뿜 ,모모랜드 (MOMOLAND),30816860
2018,뚜두뚜두 (DDU-DU DDU-DU) ,BLACKPINK,31131273
2018,선물 ,멜로망스,30514366
2018,Way Back Home ,숀 (SHAUN),31151836
2018,그때 헤어지면 돼 ,로이킴,30884950
2018,여행 ,볼빨간사춘기,31093710
2018,You ,멜로망스,30849733
2018,별이 빛나는 밤 ,마마무 (Mamamoo),30937275
2018,주지마 ,로꼬,31035061
2018,Roller Coaster ,청하,30844118
2018,My Way ,이수 (엠씨더맥스),30721801
2018,DNA ,방탄소년단,30637982
